Test set accuracy: 0.932383214568488

----------

|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:06 |        3.13% |        8.43% |       4.9571 |       3.6424 |          0.0010 |
|       1 |          25 |       00:00:13 |       28.52% |       39.48% |       2.7761 |       2.3547 |          0.0010 |
|       1 |          50 |       00:00:18 |       37.89% |       48.75% |       2.2628 |       1.9108 |          0.0010 |
|       1 |          75 |       00:00:24 |       48.05% |       54.99% |       1.8481 |       1.6027 |          0.0010 |
|       1 |         100 |       00:00:30 |       48.05% |       59.21% |       1.6858 |       1.4074 |          0.0010 |
|       2 |         125 |       00:00:36 |       59.38% |       61.49% |       1.3825 |       1.2266 |          0.0010 |
|       2 |         150 |       00:00:42 |       60.94% |       66.82% |       1.4357 |       1.0825 |          0.0010 |
|       2 |         175 |       00:00:48 |       66.02% |       73.03% |       1.0739 |       0.9419 |          0.0010 |
|       2 |         200 |       00:00:54 |       65.63% |       76.12% |       1.1103 |       0.9028 |          0.0010 |
|       2 |         225 |       00:00:59 |       67.19% |       75.40% |       1.1467 |       0.8380 |          0.0010 |
|       3 |         250 |       00:01:05 |       73.05% |       81.80% |       0.9491 |       0.7010 |          0.0010 |
|       3 |         275 |       00:01:11 |       78.13% |       78.29% |       0.7744 |       0.7795 |          0.0010 |
|       3 |         300 |       00:01:17 |       71.09% |       78.98% |       0.8897 |       0.8099 |          0.0010 |
|       3 |         325 |       00:01:23 |       77.34% |       81.68% |       0.7567 |       0.6632 |          0.0010 |
|       3 |         350 |       00:01:29 |       74.61% |       81.79% |       0.7384 |       0.6325 |          0.0010 |
|       4 |         375 |       00:01:35 |       77.73% |       83.42% |       0.7360 |       0.5796 |          0.0010 |
|       4 |         400 |       00:01:41 |       80.08% |       84.06% |       0.6003 |       0.5841 |          0.0010 |
|       4 |         425 |       00:01:46 |       82.03% |       83.91% |       0.6793 |       0.5677 |          0.0010 |
|       4 |         450 |       00:01:52 |       84.38% |       85.65% |       0.5190 |       0.5281 |          0.0010 |
|       4 |         475 |       00:01:58 |       80.86% |       84.57% |       0.6231 |       0.5669 |          0.0010 |
|       5 |         500 |       00:02:04 |       82.03% |       85.74% |       0.5618 |       0.5175 |          0.0010 |
